DrugName,CypName,Action,Species,Database,CASNumber
2-(4-chlorphenoxy)-ethanol,1A1,inhibitor,human,SuperCYP,000064175
Acriflavinium chloride,1A1,substrate,human,SuperCYP,000086408
Albendazole,1A1,inducer,human,SuperCYP,054965218
Alum,1A1,substrate,human,SuperCYP,010043013
Alum,1A1,inducer,human,SuperCYP,010043013
Amiloride,1A1,inhibitor,rat,SuperCYP,002609463
Amiodarone,1A1,substrate,human,SuperCYP,001951253
Amlodipine,1A1,inhibitor,human,SuperCYP,088150429
Amodiaquine,1A1,substrate,human,SuperCYP,000086420
Arsenic trioxide,1A1,inhibitor,human,SuperCYP,001327533
Arsenic trioxide,1A1,inhibitor,human,SuperCYP,001327533
Ascorbic acid,1A1,inducer,,SuperCYP,000050817
Ascorbic acid (vit C),1A1,inducer,,SuperCYP,000050817
atazanavir,1A1,inhibitor,,SuperCYP,cid148192
Benidipine,1A1,inhibitor,human,SuperCYP,105979177
Benoxaprofen,1A1,inducer,rat,SuperCYP,051234287
Benzydamine,1A1,substrate,human,SuperCYP,000642728
Betacarotene,1A1,inducer,human,SuperCYP,007235407
Betacarotene,1A1,inducer,human,SuperCYP,007235407
Bezafibrate,1A1,inducer,human,SuperCYP,041859670
Bortezomib,1A1,inhibitor,human,SuperCYP,179324697
Caffeine,1A1,inhibitor,human,SuperCYP,000058082
Capsaicin,1A1,substrate,human,SuperCYP,000404864
Capsaicin,1A1,substrate,human,SuperCYP,000404864
Chinin,1A1,inducer,human,SuperCYP,000130950
Chinin,1A1,inhibitor,human,SuperCYP,000130950
Chloroquine,1A1,substrate,human,SuperCYP,000054057
Chlorothiazide,1A1,inducer,rat,SuperCYP,000058946
Chlorpromazine,1A1,inducer,,SuperCYP,000050533
Cinnarizin,1A1,substrate,human,SuperCYP,000298577
Cinnarizine,1A1,substrate,human,SuperCYP,000298577
Clenbuterol,1A1,substrate,human,SuperCYP,037148279
Clobetasol,1A1,inhibitor,human,SuperCYP,025122412
Clofibrate,1A1,inducer,human,SuperCYP,000637070
Clofibrate,1A1,inducer,human,SuperCYP,000637070
Clomifene,1A1,inducer,human,SuperCYP,000911455
Clozapine,1A1,inducer,human,SuperCYP,005786210
Cocaine,1A1,inducer,,SuperCYP,000050362
