Drug,Enzyme,Action,Database,Species,DrugID,Gene,Reference,Strength
contraceptives,CYP3A4,substrate,ildcare,Not Specified,,,,
contraceptives,CYP3A4,substrate,ildcare,Not Specified,,,,
suboxone,CYP3A4,inhibitor,Indiana University,Not Specified,,,,Strong
suboxone,CYP3A5,inhibitor,Indiana University,Not Specified,,,,Strong
suboxone,CYP3A7,inhibitor,Indiana University,Not Specified,,,,Strong
suboxone,CYP3A4,inhibitor,Indiana University,Not Specified,,,,Strong
suboxone,CYP3A5,inhibitor,Indiana University,Not Specified,,,,Strong
suboxone,CYP3A7,inhibitor,Indiana University,Not Specified,,,,Strong
NAPQI,CYP1A2,substrate,Indiana University,Not Specified,,,,
mephobarbital,CYP2C19,substrate,Indiana University,Not Specified,,,,
warfarin,CYP1A2,substrate,Indiana University,Not Specified,,,,
warfarin,CYP1A2,substrate,ildcare,Not Specified,,,,
warfarin,CYP2C19,substrate,Indiana University,Not Specified,,,,
warfarin,CYP2C19,substrate,ildcare,Not Specified,,,,
warfarin,CYP3A4,substrate,ildcare,Not Specified,,,,
warfarin,CYP3A4,substrate,ildcare,Not Specified,,,,
Mephenytoin,CYP2C19,substrate,KEGG, Not Specified,,,, Narrow & Sensitive
warfarin,CYP2C9,substrate,ildcare,Not Specified,,,,
[32P]Natriumphosphat,CYP17A,substrate,SuperCYP,human,,,,
[32P]Natriumphosphat,CYP17A,substrate,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP1A1,inhibitor,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP1A2,substrate,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP2B6,inhibitor,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP2C9,inhibitor,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP2C19,inhibitor,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP2E1,inducer,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP2E1,inhibitor,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP2E1,substrate,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP2E1,inducer,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP2E1,substrate,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP3A4,inhibitor,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP3A4,substrate,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP3A4,inducer,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP3A4,inducer,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP3A4,inhibitor,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP3A4,substrate,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP3A4,inducer,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP3A4,inducer,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP4A11,inducer,SuperCYP,human,,,,
2-(4-chlorphenoxy)-ethanol,CYP19A,inducer,SuperCYP,,,,,
