Drug,Enzyme,Action,Database,DrugID
(s)-warfarin,CYP2C9,substrate,Indiana University,
[32p]natriumphosphat,CYP17A,substrate,SuperCYP,7558794
2-(4-chlorphenoxy)-ethanol,CYP1A1,inhibitor,SuperCYP,64175
2-(4-chlorphenoxy)-ethanol,CYP1A2,substrate,SuperCYP,64175
2-(4-chlorphenoxy)-ethanol,CYP2B6,inhibitor,SuperCYP,64175
2-(4-chlorphenoxy)-ethanol,CYP2C9,inhibitor,SuperCYP,64175
2-(4-chlorphenoxy)-ethanol,CYP2C19,inhibitor,SuperCYP,64175
2-(4-chlorphenoxy)-ethanol,CYP2E1,inducer,SuperCYP,64175
2-(4-chlorphenoxy)-ethanol,CYP2E1,inhibitor,SuperCYP,64175
2-(4-chlorphenoxy)-ethanol,CYP2E1,substrate,SuperCYP,64175
2-(4-chlorphenoxy)-ethanol,CYP3A4,inhibitor,SuperCYP,64175
2-(4-chlorphenoxy)-ethanol,CYP3A4,substrate,SuperCYP,64175
2-(4-chlorphenoxy)-ethanol,CYP3A4,inducer,SuperCYP,64175
2-(4-chlorphenoxy)-ethanol,CYP4A11,inducer,SuperCYP,64175
2-(4-chlorphenoxy)-ethanol,CYP19A,inducer,SuperCYP,64175
4-methoxyamphetamine,CYP2D6,substrate,DrugBank,DB01472
abiraterone,CYP2C8,inhibitor,DrugBank,DB05812
abiraterone,CYP1A2,inhibitor,DrugBank,DB05812
abiraterone,CYP2D6,inhibitor,DrugBank,DB05812
abiraterone,CYP3A4,substrate,DrugBank,DB05812
abiraterone,CYP2D6,inhibitor,KEGG,D09701
acarbose,CYP2E1,inhibitor,SuperCYP,56180940
acarbose,CYP2E1,inducer,SuperCYP,56180940
acebutolol,CYP2D6,inhibitor,DrugBank,DB01193
acebutolol,CYP2D6,inhibitor,SuperCYP,37517309
aceclofenac,CYP2C9,substrate,SuperCYP,89796996
acenocoumarol,CYP1A2,substrate,DrugBank,DB01418
acenocoumarol,CYP2C9,"substrate,inhibitor",DrugBank,DB01418
acenocoumarol,CYP2C19,substrate,DrugBank,DB01418
acenocoumarol,CYP3A4,substrate,DrugBank,DB01418
acenocoumarol,CYP2C9,inhibitor,SuperCYP,152727
acenocoumarol,CYP2C9,substrate,SuperCYP,152727
acetaminophen,CYP2C8,substrate,DrugBank,DB00316
acetaminophen,CYP1A1,substrate,DrugBank,DB00316
acetaminophen,CYP1A2,substrate,DrugBank,DB00316
acetaminophen,CYP1A2,substrate,Indiana University,
acetaminophen,CYP1A2,substrate,ildcare,
acetaminophen,CYP2A6,substrate,DrugBank,DB00316
acetaminophen,CYP2C9,substrate,DrugBank,DB00316
acetaminophen,CYP2D6,substrate,DrugBank,DB00316
acetaminophen,CYP2E1,substrate,DrugBank,DB00316
acetaminophen,CYP3A4,"substrate,inhibitor, inducer",DrugBank,DB00316
acetaminophen,SLC22A6,inhibitor,transporter,
acetaminophen,CYP2E1,substrate,Indiana University,
acetaminophen,CYP1A2,substrate,KEGG,D00217
acetazolamide,CYP3A4,inhibitor,DrugBank,DB00819
acetazolamide,SLC22A6,inhibitor,transporter,
acetazolamide,CYP3A4,inhibitor,SuperCYP,59665
acetic acid,CYP2E1,substrate,SuperCYP,64197
acetylcholin,CYP2D6,substrate,SuperCYP,51843
acetylcholine,CYP2D6,substrate,DrugBank,DB03128
acetylcholine,CYP2D6,substrate,SuperCYP,51843
acetylcysteine,SLCO1B1,inhibitor,transporter,
acetylcysteine,SLC01B1,inhibitor,transporter,
acetylsalicylic acid,CYP2C8,substrate,DrugBank,DB00945
acetylsalicylic acid,CYP2C9,substrate,DrugBank,DB00945
acetylsalicylic acid,CYP2C19,inducer,DrugBank,DB00945
acetylsalicylic acid,SLC22A6,inhibitor,transporter,
acetylsalicylic acid,CYP2C9,substrate,SuperCYP,50782
acetylsalicylic acid,CYP2C19,inducer,SuperCYP,50782
acetylsalicylic acid,CYP2C8,substrate,SuperCYP,50782
aciclovir,SLC22A6,"substrate,inhibitor",transporter,
aciclovir,SLC22A8,"substrate,inhibitor",transporter,
aciclovir,SLC47A1,substrate,transporter,
aciclovir,SLC47A2,substrate,transporter,
acitretin,CYP3A4,inhibitor,ildcare,
acitretin,CYP26A1,substrate,DrugBank,DB00459
acitretin,CYP26A1,substrate,SuperCYP,55079839
acotiamide,CYP1A1,substrate,KEGG,D08838
acriflavinium chloride,CYP1A1,substrate,SuperCYP,86408
acriflavinium chloride,CYP1A2,substrate,SuperCYP,86408
acriflavinium chloride,CYP1B1,inducer,SuperCYP,86408
acyclovir,CYP1A2,inhibitor,KEGG,D00222
