Name,Name,Actions,Species,Database,DrugBank ID
Theophylline,1A1,"substrate, inhibitor",Not Specified,DrugBank,DB00277
Gefitinib,1A1,"substrate, inhibitor",Not Specified,DrugBank,DB00317
Melatonin,1A1,"substrate, inhibitor",Not Specified,DrugBank,DB01065
Resveratrol,1A1,"substrate, inhibitor",Not Specified,DrugBank,DB02709
Menadione,1A1,"substrate, inducer",Not Specified,DrugBank,DB00170
Nicotine,1A1,"substrate, inducer",Not Specified,DrugBank,DB00184
Troglitazone,1A1,substrate,Not Specified,DrugBank,DB00197
Acetaminophen,1A1,substrate,Not Specified,DrugBank,DB00316
Chlorzoxazone,1A1,substrate,Not Specified,DrugBank,DB00356
Progesterone,1A1,substrate,Not Specified,DrugBank,DB00396
Prazosin,1A1,substrate,Not Specified,DrugBank,DB00457
Dronabinol,1A1,substrate,Not Specified,DrugBank,DB00470
Flutamide,1A1,substrate,Not Specified,DrugBank,DB00499
Haloperidol,1A1,substrate,Not Specified,DrugBank,DB00502
Oxaliplatin,1A1,substrate,Not Specified,DrugBank,DB00526
Erlotinib,1A1,substrate,Not Specified,DrugBank,DB00530
Toremifene,1A1,substrate,Not Specified,DrugBank,DB00539
Cinnarizine,1A1,substrate,Not Specified,DrugBank,DB00568
Clonidine,1A1,substrate,Not Specified,DrugBank,DB00575
Diclofenac,1A1,substrate,Not Specified,DrugBank,DB00586
Chloroquine,1A1,substrate,Not Specified,DrugBank,DB00608
Amodiaquine,1A1,substrate,Not Specified,DrugBank,DB00613
Testosterone,1A1,substrate,Not Specified,DrugBank,DB00624
Estrone,1A1,substrate,Not Specified,DrugBank,DB00655
Tamoxifen,1A1,substrate,Not Specified,DrugBank,DB00675
Warfarin,1A1,substrate,Not Specified,DrugBank,DB00682
Daunorubicin,1A1,substrate,Not Specified,DrugBank,DB00694
Pentamidine,1A1,substrate,Not Specified,DrugBank,DB00738
Riluzole,1A1,substrate,Not Specified,DrugBank,DB00740
Tretinoin,1A1,substrate,Not Specified,DrugBank,DB00755
Estradiol,1A1,substrate,Not Specified,DrugBank,DB00783
Dacarbazine,1A1,substrate,Not Specified,DrugBank,DB00851
Granisetron,1A1,substrate,Not Specified,DrugBank,DB00889
Azelastine,1A1,substrate,Not Specified,DrugBank,DB00972
Thalidomide,1A1,substrate,Not Specified,DrugBank,DB01041
Fluvastatin,1A1,substrate,Not Specified,DrugBank,DB01095
Amiodarone,1A1,substrate,Not Specified,DrugBank,DB01118
Carvedilol,1A1,substrate,Not Specified,DrugBank,DB01136
Dasatinib,1A1,substrate,Not Specified,DrugBank,DB01254
Clenbuterol,1A1,substrate,Not Specified,DrugBank,DB01407
Phenacetin,1A1,substrate,Not Specified,DrugBank,DB03783
Debrisoquin,1A1,substrate,Not Specified,DrugBank,DB04840
Flunarizine,1A1,substrate,Not Specified,DrugBank,DB04841
Lorcaserin,1A1,substrate,Not Specified,DrugBank,DB04871
Tesmilifene,1A1,substrate,Not Specified,DrugBank,DB04905
Banoxantrone,1A1,substrate,Not Specified,DrugBank,DB04975
Dapagliflozin,1A1,substrate,Not Specified,DrugBank,DB06292
